file	obj	time
16_2_0	14	600.105
16_2_1	15	600.146
16_2_10	15	600.063
16_2_11	15	600.039
16_2_12	14	600.051
16_2_13	14	600.166
16_2_14	14	600.037
16_2_15	15	600.066
16_2_16	16	600.017
16_2_17	16	600.032
16_2_18	16	600.071
16_2_19	15	600.025
16_2_2	16	600.049
16_2_20	15	600.01
16_2_21	15	600.011
16_2_22	14	600.01
16_2_23	16	601.037
16_2_24	14	600.005
16_2_25	16	600.012
16_2_26	15	600.097
16_2_27	14	600.118
16_2_28	13	600.108
16_2_29	13	600.064
16_2_3	11	600.815
16_2_30	15	600.015
16_2_31	16	600.097
16_2_32	13	600.107
16_2_33	14	600.047
16_2_34	16	600.124
16_2_35	15	600.062
16_2_36	12	600.403
16_2_37	16	600.09
16_2_38	16	600.117
16_2_39	14	600.083
16_2_4	16	600.071
16_2_40	13	600.076
16_2_41	13	600.145
16_2_42	14	600.081
16_2_43	16	600.158
16_2_44	13	600.081
16_2_45	14	600.076
16_2_46	15	600.034
16_2_47	14	600.067
16_2_48	15	600.033
16_2_49	13	600.069
16_2_5	13	600.439
16_2_50	14	600.037
16_2_51	16	600.114
16_2_52	15	600.051
16_2_53	13	600.075
16_2_54	16	600.117
16_2_55	15	600.02
16_2_56	12	600.291
16_2_57	14	600.071
16_2_58	15	600.06
16_2_59	10	600.075
16_2_6	15	600.045
16_2_60	15	600.104
16_2_61	14	600.102
16_2_62	16	600.058
16_2_63	15	600.999
16_2_64	16	600.115
16_2_65	16	600.103
16_2_66	14	600.11
16_2_67	14	600.085
16_2_68	15	600.016
16_2_69	16	600.386
16_2_7	13	600.051
16_2_70	16	600.02
16_2_71	12	600.086
16_2_72	14	600.031
16_2_73	9	600.08
16_2_74	15	600.03
16_2_75	13	600.067
16_2_76	15	600.096
16_2_77	13	600.7
16_2_78	14	600.06
16_2_79	16	600.131
16_2_8	14	600.112
16_2_80	16	600.054
16_2_81	14	600.157
16_2_82	16	600.115
16_2_83	16	600.054
16_2_84	15	600.073
16_2_85	14	600.042
16_2_86	11	600.096
16_2_87	14	600.124
16_2_88	16	600.034
16_2_89	13	600.022
16_2_9	16	600.117
16_2_90	14	600.499
16_2_91	14	600.078
16_2_92	13	600.119
16_2_93	16	600.142
16_2_94	15	600.063
16_2_95	13	600.042
16_2_96	13	600.191
16_2_97	16	600.108
16_2_98	10	600.107
16_2_99	13	600.035
16_4_0	14	600.063
16_4_1	14	600.01
16_4_10	13	600.031
16_4_11	13	600.086
16_4_12	14	600.008
16_4_13	12	600.034
16_4_14	14	600.029
16_4_15	12	600.107
16_4_16	13	600.019
16_4_17	14	600.016
16_4_18	15	600.109
16_4_19	12	600.012
16_4_2	13	600.053
16_4_20	12	600.043
16_4_21	15	600.12
16_4_22	14	600.093
16_4_23	15	600.046
16_4_24	14	600.074
16_4_25	15	600.112
16_4_26	15	600.047
16_4_27	15	600.123
16_4_28	15	600.001
16_4_29	16	600.099
16_4_3	15	600.11
16_4_30	14	600.102
16_4_31	14	600.017
16_4_32	13	600.038
16_4_33	14	600.09
16_4_34	11	600.092
16_4_35	15	600.044
16_4_36	13	600.048
16_4_37	15	600.021
16_4_38	13	600.021
16_4_39	12	600.008
16_4_4	13	600.087
16_4_40	13	600.077
16_4_41	12	600
16_4_42	12	600.037
16_4_43	12	600.024
16_4_44	13	600.063
16_4_45	12	600.006
16_4_46	13	600.024
16_4_47	14	600.101
16_4_48	12	600.107
16_4_49	13	600.103
16_4_5	13	600.098
16_4_50	13	600.022
16_4_51	11	600.082
16_4_52	15	600.043
16_4_53	14	600.098
16_4_54	16	600.117
16_4_55	13	600.116
16_4_56	15	600.111
16_4_57	15	600.067
16_4_58	14	600.073
16_4_59	14	600.094
16_4_6	11	600.113
16_4_60	14	600.097
16_4_61	14	600.026
16_4_62	13	600.051
16_4_63	14	600.051
16_4_64	15	600.03
16_4_65	13	600.064
16_4_66	12	600.018
16_4_67	16	600.036
16_4_68	16	600.046
16_4_69	13	600.03
16_4_7	14	600.06
16_4_70	13	600.027
16_4_71	15	600.081
16_4_72	14	600.122
16_4_73	15	600.066
16_4_74	16	600.086
16_4_75	14	600.039
16_4_76	10	600.106
16_4_77	14	600.112
16_4_78	15	600.101
16_4_79	14	600.044
16_4_8	13	600.061
16_4_80	14	600.022
16_4_81	11	600.042
16_4_82	14	600.121
16_4_83	13	600.043
16_4_84	15	600.122
16_4_85	14	600.077
16_4_86	13	600.088
16_4_87	11	600.082
16_4_88	12	600.042
16_4_89	14	600.031
16_4_9	12	600.04
16_4_90	15	600.104
16_4_91	14	600.114
16_4_92	12	600.085
16_4_93	14	600.089
16_4_94	15	600.024
16_4_95	14	600.089
16_4_96	16	600.115
16_4_97	16	600.049
16_4_98	15	600.056
16_4_99	15	600.011
16_8_0	12	600.003
16_8_1	12	600.064
16_8_10	14	600.045
16_8_11	11	600.005
16_8_12	14	600.019
16_8_13	12	600.05
16_8_14	11	600.073
16_8_15	12	600.012
16_8_16	13	600.005
16_8_17	14	600.051
16_8_18	12	600.041
16_8_19	14	600.037
16_8_2	14	600.035
16_8_20	13	600.003
16_8_21	13	600.085
16_8_22	14	600.106
16_8_23	12	600.02
16_8_24	9	600.069
16_8_25	13	600.013
16_8_26	14	600.01
16_8_27	13	600.04
16_8_28	13	600.049
16_8_29	12	600.091
16_8_3	14	600.117
16_8_30	13	600.012
16_8_31	13	600.083
16_8_32	12	600.082
16_8_33	15	600.079
16_8_34	11	600.045
16_8_35	15	600.106
16_8_36	12	600.021
16_8_37	13	600.051
16_8_38	14	600.091
16_8_39	13	600.089
16_8_4	15	600.002
16_8_40	13	600.084
16_8_41	13	600.106
16_8_42	13	600.105
16_8_43	13	600.1
16_8_44	11	600.029
16_8_45	10	600.095
16_8_46	11	600.075
16_8_47	15	600.017
16_8_48	10	600.048
16_8_49	13	600.01
16_8_5	15	600.102
16_8_50	14	600.002
16_8_51	13	600.103
16_8_52	13	600.024
16_8_53	13	600.038
16_8_54	16	600.045
16_8_55	13	600.061
16_8_56	10	600.082
16_8_57	10	600.017
16_8_58	14	600.102
16_8_59	16	600.031
16_8_6	13	600.092
16_8_60	9	600.002
16_8_61	13	600.05
16_8_62	11	600.025
16_8_63	15	600.018
16_8_64	14	600.058
16_8_65	15	600.104
16_8_66	12	600.003
16_8_67	12	600.073
16_8_68	14	600.093
16_8_69	9	600.072
16_8_7	10	600.049
16_8_70	14	600.082
16_8_71	10	600.064
16_8_72	12	600.074
16_8_73	12	600.015
16_8_74	12	600.035
16_8_75	15	600.066
16_8_76	13	600.07
16_8_77	12	600.095
16_8_78	15	600.055
16_8_79	14	600.09
16_8_8	11	600.104
16_8_80	11	600.108
16_8_81	13	600.006
16_8_82	16	600.118
16_8_83	10	600.058
16_8_84	11	600.028
16_8_85	10	600.004
16_8_86	11	600.091
16_8_87	13	600.101
16_8_88	14	600.05
16_8_89	12	600.044
16_8_9	15	600.006
16_8_90	11	600.11
16_8_91	15	600.053
16_8_92	14	600.071
16_8_93	13	600.064
16_8_94	14	600.042
16_8_95	8	600.076
16_8_96	10	600.027
16_8_97	11	600.008
16_8_98	14	600.01
16_8_99	13	600.067
32_16_0	24	600.113
32_16_1	23	600.039
32_16_10	27	600.034
32_16_11	28	600.048
32_16_12	24	600.06
32_16_13	22	600.158
32_16_14	24	600.008
32_16_15	27	600.069
32_16_16	23	600.081
32_16_17	22	600.07
32_16_18	23	600.165
